(theta,phi,r)
(108.0,29.84375,7.399533333333334)
(108.0,29.96875,4.828499999999999)
(108.0,31.46875,7.499)
(108.0,74.46875,2.135)
(108.0,74.59375,2.0762)
(108.0,75.21875,1.993)
(108.0,109.546875,2.2826000000000004)
(108.0,109.671875,2.192375)
(108.0,109.796875,2.133)
(108.0,110.421875,2.403)
(108.0,153.59375,2.1628)
(108.0,153.71875,2.0442500000000003)
(108.0,153.84375,1.968)
(108.0,154.34375,2.211)
(108.0,188.0625,4.085941176470589)
(108.0,188.1875,3.5760909090909094)
(108.0,188.3125,3.1414999999999997)
(108.0,232.375,3.471166666666665)
(108.0,232.5,3.3334999999999995)
(108.0,311.71875,2.731125000000001)
(108.0,355.046875,4.869285714285715)
(108.0,355.171875,4.125909090909091)
(108.0,355.296875,3.5220000000000002)
(108.0,355.421875,3.318)
(109.0,28.59375,7.406)
(109.0,28.71875,4.765941176470588)
(109.0,28.84375,4.7258)
(109.0,30.21875,4.629)
(109.0,74.34375,2.046)
(109.0,74.96875,2.062)
(109.0,108.15625,2.3014)
(109.0,108.28125,2.206125)
(109.0,108.40625,2.173)
(109.0,109.03125,2.4459999999999997)
(109.0,152.90625,2.227)
(109.0,153.03125,2.1692222222222224)
(109.0,153.15625,2.0321111111111114)
(109.0,153.78125,2.177)
(109.0,186.625,4.242624999999999)
(109.0,186.75,3.5924)
(109.0,186.875,3.0926)
(109.0,187.0,2.813)
(109.0,265.515625,4.0806000000000004)
(109.0,265.640625,3.5462307692307693)
(109.0,265.765625,3.2124999999999995)
(109.0,310.65625,2.72925)
(109.0,355.015625,4.9223333333333334)
(109.0,355.140625,4.180090909090908)
(109.0,355.265625,3.5786363636363636)
(109.0,355.390625,3.3405)
(110.0,30.5,6.614000000000001)
(110.0,30.625,4.713117647058824)
(110.0,30.75,4.655909090909091)
(110.0,32.125,7.325)
(110.0,74.953125,2.0843333333333334)
(110.0,75.078125,2.0658000000000003)
(110.0,75.703125,1.987)
(110.0,110.28125,2.330333333333334)
(110.0,110.40625,2.231260869565217)
(110.0,110.53125,2.159)
(110.0,154.078125,2.163222222222222)
(110.0,154.203125,2.0355263157894736)
(110.0,154.828125,2.221)
(110.0,188.75,4.589)
(110.0,188.875,4.280111111111111)
(110.0,189.0,3.5265)
(110.0,189.125,3.2470000000000003)
(110.0,267.96875,4.079461538461538)
(110.0,268.09375,3.513909090909091)
(110.0,268.21875,3.193249999999999)
(110.0,312.140625,2.799)
(110.0,312.265625,2.73041935483871)
(110.0,355.421875,4.986999999999999)
(110.0,355.546875,4.191)
(110.0,355.671875,3.556666666666666)
(110.0,355.796875,3.284)
(111.0,29.78125,4.829695652173912)
(111.0,29.90625,4.591222222222224)
(111.0,74.484375,2.035)
(111.0,74.609375,2.0783333333333336)
(111.0,75.234375,2.019)
(111.0,109.40625,2.3241111111111112)
(111.0,109.53125,2.2145294117647056)
(111.0,109.65625,2.162)
(111.0,110.28125,2.445)
(111.0,153.421875,2.177)
(111.0,153.546875,2.1513999999999998)
(111.0,153.671875,2.020875)
(111.0,154.296875,2.173)
(111.0,187.859375,4.748142857142858)
(111.0,187.984375,4.3531818181818185)
(111.0,188.109375,3.61225)
(111.0,188.234375,3.1689999999999996)
(111.0,188.359375,3.081)
(111.0,267.046875,4.086384615384615)
(111.0,267.171875,3.5436666666666663)
(111.0,267.296875,3.1981428571428574)
(111.0,311.53125,2.7306875)
(111.0,355.046875,4.938)
(111.0,355.171875,4.175333333333333)
(111.0,355.296875,3.504846153846154)
(111.0,355.421875,3.285)
(112.0,30.015625,5.073666666666666)
(112.0,30.140625,4.572272727272726)
(112.0,74.546875,2.106)
(112.0,74.671875,2.088)
(112.0,75.296875,2.073)
(112.0,109.5,2.391)
(112.0,109.625,2.3731999999999998)
(112.0,109.75,2.2301111111111114)
(112.0,109.875,2.153)
(112.0,153.703125,2.185888888888889)
(112.0,153.828125,2.0470999999999995)
(112.0,153.953125,1.967)
(112.0,188.09375,4.849833333333334)
(112.0,188.21875,4.217333333333333)
(112.0,188.34375,3.5969999999999995)
(112.0,188.46875,3.1677999999999997)
(112.0,267.25,4.037142857142858)
(112.0,267.375,3.4851666666666667)
(112.0,267.5,3.2053333333333334)
(112.0,311.796875,2.7322500000000005)
(112.0,355.09375,4.8996666666666675)
(112.0,355.21875,4.246636363636363)
(112.0,355.34375,3.5598333333333336)
(112.0,355.46875,3.332333333333333)
(113.0,29.8125,5.793)
(113.0,29.9375,5.139962962962962)
(113.0,30.0625,4.620333333333334)
(113.0,74.59375,2.233)
(113.0,109.515625,2.406)
(113.0,109.640625,2.211333333333334)
(113.0,109.765625,2.1390000000000002)
(113.0,153.6875,2.1380909090909093)
(113.0,153.8125,2.0448666666666666)
(113.0,153.9375,1.981)
(113.0,154.4375,1.573)
(113.0,187.96875,4.968636363636363)
(113.0,188.09375,4.23725)
(113.0,188.21875,3.5332222222222227)
(113.0,188.34375,2.842)
(113.0,188.46875,3.0140000000000002)
(113.0,232.28125,3.9021578947368423)
(113.0,232.40625,3.843153846153846)
(113.0,311.59375,2.795)
(113.0,311.71875,2.7277333333333327)
(113.0,355.203125,4.890428571428572)
(113.0,355.328125,4.1530000000000005)
(113.0,355.453125,3.590384615384615)
(113.0,355.578125,3.277)
(114.0,29.1875,6.14375)
(114.0,29.3125,5.280083333333333)
(114.0,108.84375,2.407571428571429)
(114.0,108.96875,2.2042)
(114.0,109.09375,2.1736666666666666)
(114.0,153.4375,2.107)
(114.0,153.5625,2.0397368421052633)
(114.0,154.0625,2.205)
(114.0,187.15625,4.927727272727274)
(114.0,187.28125,4.12575)
(114.0,187.40625,3.4952499999999995)
(114.0,187.53125,3.293)
(114.0,187.65625,2.7239999999999998)
(114.0,231.84375,4.108562500000001)
(114.0,311.171875,2.7296875000000007)
(114.0,355.328125,4.967)
(114.0,355.453125,4.236090909090909)
(114.0,355.578125,3.564846153846154)
(114.0,355.703125,3.282)
(115.0,30.546875,6.132692307692308)
(115.0,30.671875,5.3072105263157905)
(115.0,110.390625,2.381727272727273)
(115.0,110.515625,2.2224117647058823)
(115.0,110.640625,2.1475)
(115.0,154.15625,2.15325)
(115.0,154.28125,2.0418888888888884)
(115.0,154.65625,1.5619999999999998)
(115.0,154.90625,2.179)
(115.0,188.859375,4.934230769230769)
(115.0,188.984375,4.13625)
(115.0,189.109375,3.5521428571428575)
(115.0,189.234375,3.252)
(115.0,189.359375,2.7430000000000003)
(115.0,232.765625,4.242125000000001)
(115.0,312.15625,2.779)
(115.0,312.28125,2.7318387096774197)
(115.0,355.5,4.938428571428572)
(115.0,355.625,4.183181818181819)
(115.0,355.75,3.589600000000001)
(115.0,355.875,3.343)
(116.0,29.765625,6.458473684210527)
(116.0,29.890625,5.512384615384615)
(116.0,109.4375,2.529)
(116.0,109.5625,2.3734615384615383)
(116.0,109.6875,2.2024999999999997)
(116.0,109.8125,2.142)
(116.0,153.625,2.107)
(116.0,153.75,2.0528000000000004)
(116.0,154.125,2.191)
(116.0,187.96875,5.046454545454545)
(116.0,188.09375,4.2345)
(116.0,188.21875,3.5443333333333333)
(116.0,188.46875,2.6705)
(116.0,232.109375,4.642200000000001)
(116.0,232.234375,4.435962962962963)
(116.0,311.515625,2.781)
(116.0,311.640625,2.7284)
(116.0,355.015625,4.948666666666667)
(116.0,355.140625,4.175833333333333)
(116.0,355.265625,3.530666666666667)
(116.0,355.390625,3.3200000000000003)
(117.0,29.828125,6.705758620689655)
(117.0,29.953125,5.793666666666667)
(117.0,74.828125,1.746)
(117.0,75.203125,1.769)
(117.0,109.609375,2.3914615384615385)
(117.0,109.734375,2.2099411764705885)
(117.0,109.859375,2.1369999999999996)
(117.0,153.53125,2.155857142857143)
(117.0,153.65625,2.0606)
(117.0,153.78125,2.009)
(117.0,154.28125,2.231)
(117.0,188.125,5.024166666666667)
(117.0,188.25,4.186999999999999)
(117.0,188.375,3.5616666666666665)
(117.0,188.625,2.654333333333333)
(117.0,188.75,2.575)
(117.0,232.09375,4.719571428571429)
(117.0,232.21875,4.7155)
(117.0,311.703125,2.7308125000000003)
(117.0,355.0625,4.898142857142857)
(117.0,355.1875,4.233888888888889)
(117.0,355.3125,3.577571428571429)
(117.0,355.4375,3.2729999999999997)
(118.0,29.1875,6.8396875)
(118.0,74.53125,1.8094000000000001)
(118.0,74.65625,1.7456666666666667)
(118.0,75.03125,1.806)
(118.0,108.765625,2.5)
(118.0,108.890625,2.379)
(118.0,109.015625,2.2157999999999998)
(118.0,109.140625,2.156333333333333)
(118.0,153.109375,2.253)
(118.0,153.234375,2.1770000000000005)
(118.0,153.359375,2.049)
(118.0,187.328125,4.982333333333332)
(118.0,187.453125,4.097857142857142)
(118.0,187.578125,3.5527142857142855)
(118.0,187.703125,2.691)
(118.0,187.828125,2.7616666666666667)
(118.0,187.953125,2.582)
(118.0,231.578125,4.785689655172414)
(118.0,231.703125,4.689)
(118.0,310.984375,2.781)
(118.0,311.109375,2.7280322580645167)
(118.0,354.953125,4.997)
(118.0,355.078125,4.219)
(118.0,355.203125,3.5117272727272733)
(118.0,355.328125,3.3816666666666664)
(119.0,29.890625,6.9926875)
(119.0,74.8125,1.961)
(119.0,74.9375,1.8332499999999998)
(119.0,75.0625,1.7656666666666665)
(119.0,109.609375,2.3912857142857145)
(119.0,109.734375,2.1974)
(119.0,109.859375,2.142333333333333)
(119.0,153.640625,2.2256666666666667)
(119.0,153.765625,2.1444444444444444)
(119.0,153.890625,2.0497272727272726)
(119.0,188.0,5.013333333333333)
(119.0,188.125,4.170714285714285)
(119.0,188.25,3.611285714285714)
(119.0,188.375,2.849)
(119.0,188.5,2.744)
(119.0,188.625,2.573)
(119.0,232.140625,4.860862068965518)
(119.0,232.265625,4.806333333333334)
(119.0,311.6875,2.7305625)
(119.0,355.28125,4.929857142857143)
(119.0,355.40625,4.148833333333333)
(119.0,355.53125,3.5184545454545457)
(119.0,355.65625,3.276)
(120.0,30.296875,7.00875)
(120.0,74.984375,2.061)
(120.0,75.109375,1.9786666666666666)
(120.0,75.234375,1.8843333333333334)
(120.0,75.359375,1.827)
(120.0,75.734375,1.959)
(120.0,110.125,2.3893333333333335)
(120.0,110.25,2.2052222222222215)
(120.0,110.375,2.144)
(120.0,153.9375,2.239)
(120.0,154.0625,2.171470588235294)
(120.0,154.1875,2.0825714285714283)
(120.0,188.59375,5.033363636363636)
(120.0,188.71875,4.2667777777777784)
(120.0,188.84375,3.670666666666666)
(120.0,188.96875,2.797)
(120.0,189.09375,2.687666666666667)
(120.0,189.21875,2.628)
(120.0,232.578125,4.903666666666667)
(120.0,232.703125,4.786)
(120.0,312.015625,2.809)
(120.0,312.140625,2.729516129032259)
(120.0,355.515625,4.971285714285715)
(120.0,355.640625,4.214799999999999)
(120.0,355.765625,3.5959230769230763)
(120.0,355.890625,3.287)
(121.0,30.71875,6.9825)
(121.0,75.0625,2.1910000000000003)
(121.0,75.1875,2.0482)
(121.0,75.3125,1.997)
(121.0,110.640625,2.3951818181818183)
(121.0,110.765625,2.2055882352941176)
(121.0,110.890625,2.1525)
(121.0,154.265625,2.1737)
(121.0,154.390625,2.095833333333333)
(121.0,189.25,4.975142857142857)
(121.0,189.375,4.079285714285715)
(121.0,189.5,3.7342)
(121.0,189.625,2.805)
(121.0,189.75,2.6794000000000002)
(121.0,232.84375,4.941812499999998)
(121.0,312.515625,2.7335625000000006)
(121.0,355.5625,4.9912857142857145)
(121.0,355.6875,4.1706666666666665)
(121.0,355.8125,3.5496000000000003)
(121.0,355.9375,3.300333333333333)
(122.0,30.0625,6.976500000000001)
(122.0,74.84375,2.265)
(122.0,74.96875,2.204333333333333)
(122.0,75.71875,2.151)
(122.0,109.671875,2.511)
(122.0,109.796875,2.391545454545455)
(122.0,109.921875,2.2080526315789473)
(122.0,110.046875,2.165)
(122.0,154.046875,2.162037037037037)
(122.0,154.171875,2.1130000000000004)
(122.0,188.25,5.010090909090908)
(122.0,188.375,4.250111111111111)
(122.0,188.5,3.653)
(122.0,188.625,2.799)
(122.0,188.75,2.6552857142857142)
(122.0,232.46875,4.938612903225807)
(122.0,232.59375,4.767)
(122.0,312.0,2.731625)
(122.0,355.515625,4.963857142857143)
(122.0,355.640625,4.274777777777778)
(122.0,355.765625,3.598857142857143)
(122.0,355.890625,3.286)
(123.0,30.015625,6.949375000000002)
(123.0,109.84375,2.3899230769230773)
(123.0,109.96875,2.21275)
(123.0,110.09375,2.1489999999999996)
(123.0,153.6875,2.17524)
(123.0,153.8125,2.1107142857142858)
(123.0,188.3125,5.013727272727272)
(123.0,188.4375,4.29775)
(123.0,188.5625,3.5860000000000003)
(123.0,188.6875,3.631)
(123.0,188.8125,2.6630000000000003)
(123.0,188.9375,2.551)
(123.0,232.140625,4.912125000000001)
(123.0,311.78125,2.731437500000001)
(123.0,355.03125,4.967666666666666)
(123.0,355.15625,4.262)
(123.0,355.28125,3.582230769230769)
(123.0,355.40625,3.3309999999999995)
(124.0,30.171875,6.917749999999999)
(124.0,109.96875,2.3943333333333334)
(124.0,110.09375,2.2037999999999998)
(124.0,153.78125,2.163)
(124.0,153.90625,2.1768518518518523)
(124.0,154.03125,2.1414999999999997)
(124.0,188.390625,4.953153846153847)
(124.0,188.515625,4.160714285714286)
(124.0,188.640625,3.4450000000000003)
(124.0,188.765625,3.189)
(124.0,188.890625,2.6704999999999997)
(124.0,189.015625,2.566333333333333)
(124.0,232.390625,4.919866666666667)
(124.0,232.515625,4.7490000000000006)
(124.0,311.984375,2.7318125000000006)
(124.0,355.265625,4.928714285714285)
(124.0,355.390625,4.1505)
(124.0,355.515625,3.546777777777778)
(124.0,355.640625,3.318)
(125.0,29.140625,6.918624999999999)
(125.0,73.40625,5.561)
(125.0,73.53125,5.2658000000000005)
(125.0,75.03125,4.739)
(125.0,108.75,2.467)
(125.0,108.875,2.4065000000000003)
(125.0,109.0,2.218)
(125.0,109.125,2.137)
(125.0,109.75,2.195)
(125.0,153.109375,2.271)
(125.0,153.234375,2.1908947368421057)
(125.0,153.359375,2.1214000000000004)
(125.0,153.484375,2.135)
(125.0,187.34375,4.973181818181818)
(125.0,187.46875,4.1575)
(125.0,187.59375,3.465)
(125.0,187.71875,3.695)
(125.0,187.84375,2.6430000000000002)
(125.0,187.96875,2.541)
(125.0,231.625,4.8936896551724125)
(125.0,231.75,4.777)
(125.0,311.109375,2.729375000000001)
(125.0,354.96875,4.915666666666667)
(125.0,355.09375,4.188833333333334)
(125.0,355.21875,3.5533636363636365)
(125.0,355.34375,3.2896666666666667)
(126.0,30.828125,6.86525)
(126.0,74.46875,5.110666666666667)
(126.0,74.59375,4.213)
(126.0,74.71875,3.442)
(126.0,74.84375,3.3310000000000004)
(126.0,75.96875,3.5256666666666665)
(126.0,110.703125,2.395888888888889)
(126.0,110.828125,2.2316666666666674)
(126.0,110.953125,2.1456666666666666)
(126.0,111.578125,2.207)
(126.0,154.25,2.260333333333333)
(126.0,154.375,2.1949200000000006)
(126.0,154.5,2.144)
(126.0,189.28125,4.958285714285714)
(126.0,189.40625,4.01525)
(126.0,189.53125,3.777)
(126.0,189.65625,3.693)
(126.0,189.78125,2.677)
(126.0,189.90625,2.607)
(126.0,232.921875,4.896612903225806)
(126.0,233.046875,4.777)
(126.0,312.59375,2.732875)
(126.0,355.671875,5.053333333333334)
(126.0,355.796875,4.193)
(126.0,355.921875,3.5904000000000003)
(126.0,356.046875,3.303666666666667)
(127.0,30.71875,6.856437500000002)
(127.0,74.3125,4.811)
(127.0,74.4375,4.2035)
(127.0,74.5625,3.57525)
(127.0,74.6875,3.2236666666666665)
(127.0,75.8125,3.551)
(127.0,110.625,2.374142857142857)
(127.0,110.75,2.1948666666666665)
(127.0,110.875,2.1456666666666666)
(127.0,154.078125,2.2625)
(127.0,154.203125,2.2082173913043475)
(127.0,154.328125,2.1086)
(127.0,189.15625,4.975769230769231)
(127.0,189.28125,4.159666666666666)
(127.0,189.40625,3.005)
(127.0,189.53125,3.663)
(127.0,189.65625,2.6863333333333332)
(127.0,189.78125,2.5570000000000004)
(127.0,232.703125,4.9020714285714275)
(127.0,232.828125,4.7205)
(127.0,312.40625,2.7329375000000002)
(127.0,355.53125,4.969857142857143)
(127.0,355.65625,4.196999999999999)
(127.0,355.78125,3.569363636363636)
(127.0,355.90625,3.3343333333333334)
(128.0,31.0625,6.8450000000000015)
(128.0,111.046875,2.3779230769230764)
(128.0,111.171875,2.2074285714285713)
(128.0,111.296875,2.162333333333333)
(128.0,111.921875,2.185)
(128.0,127.9375,2.101923076923077)
(128.0,128.0625,2.0395)
(128.0,128.4375,2.197)
(128.0,128.6875,2.193)
(128.0,189.671875,4.969285714285713)
(128.0,189.796875,4.203857142857143)
(128.0,189.921875,3.538)
(128.0,190.046875,3.723)
(128.0,190.171875,2.7438000000000002)
(128.0,190.296875,2.592333333333333)
(128.0,206.640625,4.862666666666667)
(128.0,206.765625,4.769)
(128.0,269.046875,4.148555555555556)
(128.0,269.171875,3.541615384615385)
(128.0,269.296875,3.1772)
(128.0,312.765625,2.7335625)
(128.0,355.515625,4.976428571428571)
(128.0,355.640625,4.197)
(128.0,355.765625,3.540230769230769)
(128.0,355.890625,3.261)
(129.0,30.828125,6.842062500000001)
(129.0,74.0625,5.441)
(129.0,74.1875,4.990333333333333)
(129.0,74.3125,4.3634)
(129.0,74.4375,3.5412)
(129.0,74.5625,3.1155)
(129.0,74.6875,2.89)
(129.0,110.75,2.3893333333333335)
(129.0,110.875,2.201)
(129.0,111.0,2.1449999999999996)
(129.0,154.078125,2.2866000000000004)
(129.0,154.203125,2.2097500000000005)
(129.0,154.328125,2.157)
(129.0,189.359375,4.973)
(129.0,189.484375,4.191)
(129.0,189.734375,3.0243333333333333)
(129.0,189.859375,2.6926)
(129.0,189.984375,2.55)
(129.0,232.859375,4.880600000000001)
(129.0,232.984375,4.724)
(129.0,312.59375,2.7328125000000005)
(129.0,355.34375,4.939571428571428)
(129.0,355.46875,4.189727272727273)
(129.0,355.59375,3.5497272727272726)
(129.0,355.71875,3.326333333333334)
(130.0,30.15625,6.84475)
(130.0,74.125,5.125333333333334)
(130.0,74.25,4.273)
(130.0,74.375,3.5505555555555555)
(130.0,74.5,3.0665)
(130.0,74.625,2.905)
(130.0,109.828125,2.487)
(130.0,109.953125,2.4094444444444445)
(130.0,110.078125,2.1994)
(130.0,110.203125,2.146)
(130.0,110.578125,2.199)
(130.0,110.828125,1.847)
(130.0,153.875,2.3409999999999997)
(130.0,154.0,2.2047272727272724)
(130.0,154.125,2.1790000000000003)
(130.0,188.53125,4.943153846153846)
(130.0,188.65625,4.292599999999999)
(130.0,188.78125,3.503)
(130.0,188.90625,3.156333333333334)
(130.0,189.03125,2.6986)
(130.0,189.15625,2.569)
(130.0,232.4375,4.866466666666667)
(130.0,232.5625,4.719)
(130.0,312.0,2.730937500000001)
(130.0,355.453125,4.949571428571429)
(130.0,355.578125,4.2143999999999995)
(130.0,355.703125,3.5791538461538464)
(130.0,355.828125,3.2800000000000002)
(131.0,30.75,6.832062500000001)
(131.0,74.296875,5.083666666666667)
(131.0,74.421875,4.24475)
(131.0,74.546875,3.573)
(131.0,74.671875,3.0814999999999997)
(131.0,74.796875,2.94)
(131.0,110.65625,2.4010000000000002)
(131.0,110.78125,2.210375)
(131.0,110.90625,2.131)
(131.0,111.28125,1.563)
(131.0,154.078125,2.3373333333333335)
(131.0,154.203125,2.231416666666667)
(131.0,154.328125,2.2030000000000003)
(131.0,189.21875,4.975461538461539)
(131.0,189.34375,4.3866)
(131.0,189.46875,3.5195)
(131.0,189.59375,3.0965)
(131.0,189.71875,2.6234)
(131.0,189.84375,2.627)
(131.0,232.734375,4.865275862068966)
(131.0,232.859375,4.745666666666666)
(131.0,312.453125,2.7323125000000013)
(131.0,355.46875,4.961571428571427)
(131.0,355.59375,4.2294)
(131.0,355.71875,3.552714285714285)
(131.0,355.84375,3.257)
(132.0,31.6875,6.817937500000002)
(132.0,74.515625,5.1474)
(132.0,74.640625,4.247888888888889)
(132.0,74.765625,3.52425)
(132.0,74.890625,3.08325)
(132.0,75.015625,2.937)
(132.0,111.65625,2.3744545454545456)
(132.0,111.78125,2.220090909090909)
(132.0,111.90625,2.137)
(132.0,112.53125,1.9769999999999996)
(132.0,154.5,2.3232)
(132.0,154.625,2.2417)
(132.0,154.75,2.21)
(132.0,190.4375,4.935750000000001)
(132.0,190.5625,4.366)
(132.0,190.6875,3.5306666666666664)
(132.0,190.8125,3.1425)
(132.0,190.9375,2.646)
(132.0,233.328125,4.867709677419356)
(132.0,233.453125,4.727)
(132.0,313.09375,2.813)
(132.0,313.21875,2.7322903225806465)
(132.0,355.546875,4.9750000000000005)
(132.0,355.671875,4.169833333333333)
(132.0,355.796875,3.5418)
(132.0,355.921875,3.332333333333333)
(133.0,31.046875,6.824875000000002)
(133.0,74.34375,5.065571428571429)
(133.0,74.46875,4.133571428571429)
(133.0,74.59375,3.575857142857143)
(133.0,74.71875,3.1172)
(133.0,74.84375,2.847)
(133.0,110.921875,2.3897272727272725)
(133.0,111.046875,2.2138750000000003)
(133.0,111.171875,2.151)
(133.0,111.796875,2.185)
(133.0,154.28125,2.3526)
(133.0,154.40625,2.2425000000000006)
(133.0,154.53125,2.163)
(133.0,189.484375,4.973571428571428)
(133.0,189.609375,4.45)
(133.0,189.734375,3.5507142857142857)
(133.0,189.859375,3.2230000000000003)
(133.0,189.984375,2.675)
(133.0,190.109375,2.603)
(133.0,233.0625,4.8633999999999995)
(133.0,233.1875,4.734)
(133.0,312.640625,2.807)
(133.0,312.765625,2.7307419354838713)
(133.0,355.4375,4.9205)
(133.0,355.5625,4.119363636363636)
(133.0,355.6875,3.500833333333333)
(133.0,355.8125,3.259)
(134.0,31.65625,6.811187500000002)
(134.0,74.546875,4.999285714285714)
(134.0,74.671875,4.1656666666666675)
(134.0,74.796875,3.558111111111111)
(134.0,74.921875,3.1201428571428567)
(134.0,75.046875,2.903)
(134.0,111.609375,2.3552)
(134.0,111.734375,2.2238235294117645)
(134.0,111.859375,2.157)
(134.0,112.484375,2.171)
(134.0,154.515625,2.3489999999999998)
(134.0,154.640625,2.2378)
(134.0,154.765625,2.1875)
(134.0,190.390625,4.916333333333333)
(134.0,190.515625,4.153)
(134.0,190.640625,3.51775)
(134.0,190.765625,3.0940000000000003)
(134.0,190.890625,2.6639999999999997)
(134.0,233.4375,4.876241379310345)
(134.0,233.5625,4.747)
(134.0,313.171875,2.791)
(134.0,313.296875,2.733193548387097)
(134.0,355.625,5.087)
(134.0,355.75,4.2587142857142855)
(134.0,355.875,3.5462000000000002)
(134.0,356.0,3.316333333333333)
(135.0,30.421875,6.845750000000001)
(135.0,74.09375,5.082142857142856)
(135.0,74.21875,4.223857142857143)
(135.0,74.34375,3.581)
(135.0,74.46875,3.1204)
(135.0,74.59375,2.919)
(135.0,110.296875,2.397181818181818)
(135.0,110.421875,2.2226470588235294)
(135.0,111.171875,1.88)
(135.0,153.84375,2.3540769230769234)
(135.0,153.96875,2.2431111111111104)
(135.0,154.09375,2.123)
(135.0,188.84375,4.825333333333334)
(135.0,188.96875,4.143800000000001)
(135.0,189.09375,3.629857142857143)
(135.0,189.21875,3.02)
(135.0,189.34375,2.6786666666666665)
(135.0,232.5,4.872379310344828)
(135.0,232.625,4.700333333333333)
(135.0,312.1875,2.7313750000000008)
(135.0,355.375,4.96)
(135.0,355.5,4.275727272727273)
(135.0,355.625,3.546714285714286)
(135.0,355.75,3.259)
(136.0,30.5625,6.842125000000002)
(136.0,73.78125,5.467)
(136.0,73.90625,5.019857142857143)
(136.0,74.03125,4.111571428571429)
(136.0,74.15625,3.4915000000000003)
(136.0,74.28125,3.112714285714286)
(136.0,74.40625,2.95)
(136.0,110.453125,2.3805384615384613)
(136.0,110.578125,2.2056666666666667)
(136.0,111.328125,2.169)
(136.0,153.734375,2.350411764705883)
(136.0,153.859375,2.2437692307692307)
(136.0,153.984375,2.1399999999999997)
(136.0,189.03125,4.8908000000000005)
(136.0,189.15625,4.015)
(136.0,189.28125,3.7527142857142857)
(136.0,189.40625,2.9410000000000003)
(136.0,189.53125,2.7046)
(136.0,190.53125,4.971)
(136.0,232.46875,4.8611875)
(136.0,312.234375,2.7314374999999997)
(136.0,355.015625,4.973)
(136.0,355.140625,4.207181818181819)
(136.0,355.265625,3.5716666666666668)
(136.0,355.390625,3.311)
(137.0,31.234375,6.846375000000002)
(137.0,74.46875,5.116333333333333)
(137.0,74.59375,4.202750000000001)
(137.0,74.71875,3.5833333333333335)
(137.0,74.84375,3.1418)
(137.0,74.96875,2.8760000000000003)
(137.0,111.171875,2.3694615384615387)
(137.0,111.296875,2.1990000000000003)
(137.0,111.421875,2.141)
(137.0,112.046875,2.159)
(137.0,154.234375,2.435)
(137.0,154.359375,2.356833333333334)
(137.0,154.484375,2.2671176470588237)
(137.0,154.609375,2.1929999999999996)
(137.0,189.90625,4.898499999999999)
(137.0,190.03125,4.035545454545455)
(137.0,190.15625,3.434)
(137.0,190.28125,3.082)
(137.0,190.40625,2.7834)
(137.0,233.15625,4.8711290322580645)
(137.0,233.28125,4.707)
(137.0,312.765625,2.801)
(137.0,312.890625,2.7294)
(137.0,355.53125,4.9841428571428565)
(137.0,355.65625,4.160333333333333)
(137.0,355.78125,3.5566000000000004)
(137.0,355.90625,3.3249999999999997)
(138.0,30.984375,6.863937500000001)
(138.0,74.234375,5.060428571428572)
(138.0,74.359375,4.14175)
(138.0,74.484375,3.520142857142857)
(138.0,74.609375,3.0622)
(138.0,110.75,2.445)
(138.0,110.875,2.353909090909091)
(138.0,111.0,2.236846153846154)
(138.0,111.125,2.141)
(138.0,111.75,1.8689999999999998)
(138.0,154.21875,2.3897999999999997)
(138.0,154.34375,2.268047619047619)
(138.0,154.46875,2.185)
(138.0,189.453125,4.864272727272727)
(138.0,189.578125,4.254199999999999)
(138.0,189.703125,3.629)
(138.0,189.828125,3.0090000000000003)
(138.0,189.953125,2.8006)
(138.0,233.015625,4.886439999999999)
(138.0,233.140625,4.632714285714286)
(138.0,312.625,2.794)
(138.0,312.75,2.7293333333333343)
(138.0,355.375,4.959666666666666)
(138.0,355.5,4.247333333333334)
(138.0,355.625,3.5380000000000003)
(138.0,355.75,3.281)
(139.0,31.03125,6.874312500000001)
(139.0,74.515625,5.086333333333333)
(139.0,74.640625,4.1945)
(139.0,74.765625,3.5387142857142857)
(139.0,74.890625,3.116333333333333)
(139.0,75.015625,2.864)
(139.0,110.8125,2.479)
(139.0,110.9375,2.3823333333333334)
(139.0,111.0625,2.218222222222222)
(139.0,111.8125,2.187)
(139.0,154.390625,2.36175)
(139.0,154.515625,2.252)
(139.0,154.640625,2.1799999999999997)
(139.0,189.5625,4.930000000000001)
(139.0,189.6875,4.187857142857142)
(139.0,189.8125,3.5203333333333333)
(139.0,189.9375,2.9577999999999998)
(139.0,190.0625,2.871)
(139.0,191.0625,4.407)
(139.0,233.109375,4.848)
(139.0,233.234375,4.563)
(139.0,312.796875,2.732312500000001)
(139.0,355.6875,5.062)
(139.0,355.8125,4.248)
(139.0,355.9375,3.5463333333333327)
(139.0,356.0625,3.3579999999999997)
(140.0,30.359375,6.906125000000003)
(140.0,73.828125,5.467)
(140.0,73.953125,5.1618)
(140.0,74.078125,4.219444444444445)
(140.0,74.203125,3.564333333333334)
(140.0,74.328125,3.1082727272727273)
(140.0,110.265625,2.3938333333333333)
(140.0,110.390625,2.228466666666667)
(140.0,110.515625,2.135)
(140.0,111.140625,2.159)
(140.0,153.640625,2.369705882352942)
(140.0,153.765625,2.2155333333333336)
(140.0,188.78125,5.726000000000001)
(140.0,188.90625,5.3795)
(140.0,189.03125,4.178666666666667)
(140.0,189.15625,3.3383333333333334)
(140.0,189.28125,3.0690000000000004)
(140.0,189.40625,2.8978)
